catalog: 156 frames, 116 images (20 colour)
building 156 frames with 1 job(s)
id           seed      detected     delta  period96  jit96  noise  alt96    trace0  qual   comp  dot    peak    KiB     s
R005     17656141    17652934.6   -3206.4   799.281   1.20   0.11   -1.6  2000.400  0.91   86.3  yes  0.3804    511   0.2
R006     19802597    19799444.2   -3152.8   799.231   1.68   0.04   -1.6  1999.790  0.93   76.3  yes  0.4322    517   0.2
R007     21940853    21937660.5   -3192.5   799.216   2.82   0.15   -1.6  1999.824  0.76   70.8   no  0.3237    584   0.2
R008     24148679    24145559.4   -3119.6   799.214   4.81   0.05   -1.6  2000.030  0.78   71.0   no  0.4289    559   0.2
R009     26315243    26312096.4   -3146.6   799.153   1.54   0.04   -1.6  2000.340  0.83   74.3  yes  0.3514    551   0.2
R010     28621555    28618348.7   -3206.3   799.110   1.53   0.04   -1.6  2000.387  0.89   49.2   no  0.3568    521   0.3
R011     30789735    30786571.9   -3163.1   799.152   1.47   0.04   -1.6  2000.244  0.89   91.0   no  0.3659    544   0.2
R012     32986872    32983675.2   -3196.8   799.132   1.71   0.09   -1.6  1999.771  0.85   81.3  yes  0.4228    505   0.2
R013     35224177    35221031.7   -3145.3   799.085   1.82   0.05   -1.6  1999.653  0.94   82.6   no  0.3440    520   0.3
R014     37420925    37417709.0   -3216.0   799.089   1.32   0.05   -1.6  2000.009  0.86   81.1   no  0.4218    523   0.2
R015     39586621    39583434.7   -3186.3   799.089   1.31   0.05   +1.6  2000.411  0.88   78.6   no  0.4199    508   0.2
R016     41813194    41809991.2   -3202.8   799.065   1.17   0.15   -1.6  2000.302  0.92   91.3   no  0.4153    538   0.2
R017     44002775    43999616.0   -3159.0   799.075   1.84   0.04   -1.6  2000.255  0.90   87.7   no  0.3942    522   0.2
R018     46219779    46216573.4   -3205.6   799.202   1.38   0.04   -1.6  1999.587  0.88   84.7   no  0.4401    524   0.2
R019     48449050    48445891.5   -3158.5   798.978   4.25   0.05   -1.6  2000.273  0.85   72.3  yes  0.4294    518   0.2
