catalog: 156 frames, 116 images (20 colour)
building 156 frames with 2 job(s)
id           seed      detected     delta  period96  jit96  noise  alt96    trace0  qual    peak    KiB     s
L056    130596844   130596738.2    -105.8   798.590   1.08   0.69   +1.1  1999.076  0.96  0.2957    517   0.5
L057    132766322   132766212.0    -110.0   798.576   0.98   0.64   +1.0  1999.087  0.91  0.2300    560   0.3
L058    134948075   134947948.9    -126.1   798.578   1.02   0.62   +1.0  2001.123  0.96  0.2456    550   0.5
L059    137166195   137166048.6    -146.4   798.548   1.38   0.82   +1.1  2001.002  0.94  0.2908    529   0.3
L060    139271903   139271753.0    -150.0   798.539   0.96   0.75   +0.9  2000.056  0.94  0.3077    514   0.3
L061    141461972   141461894.0     -78.0   798.562   0.97   0.62   +0.9  2001.112  0.97  0.2392    596   0.4
L062    143599679   143599609.7     -69.3   798.554   1.06   0.63   +0.9  1999.054  0.96  0.2237    586   0.4
L063    145823739   145823637.0    -102.0   798.562   1.13   0.63   +1.0  2000.024  0.96  0.3165    544   0.6
L064    148070564   148070430.4    -133.6   798.528   1.17   0.68   +1.1  1999.942  0.96  0.2649    533   1.0
L065    150320842   150320664.5    -177.5   798.506   1.40   0.86   +1.4  1999.755  0.96  0.3342    558   0.5
L066    152464062   152463911.3    -150.7   798.488   1.22   0.65   +1.1  2000.162  0.96  0.3301    554   0.5
L067    154736972   154736829.1    -142.9   798.454   2.11   1.14   +2.0  1999.903  0.94  0.2466    555   0.5
L068    156851635   156851520.2    -114.8   798.449   1.10   0.63   +0.9  2000.805  0.96  0.3006    558   0.4
L069    159135821   159135671.6    -149.4   798.428   3.28   1.71   -0.8  2000.239  0.92  0.2520    563   0.4
L070    161438215   161438121.8     -93.2   798.388   1.79   0.81   +1.0  1999.854  0.94  0.3178    531   0.4
L071    164019185   164019023.2    -161.8   798.383   1.57   0.81   +1.5  1999.045  0.94  0.2626    556   0.5
L072    166138211   166138108.6    -102.4   798.398   1.05   0.82   +1.0  2000.757  0.97  0.2614    550   0.4
L073    168366216   168366069.1    -146.9   798.373   1.38   0.87   +1.2  1999.650  0.96  0.2459    542   0.4
L074    170490736   170490575.4    -160.6   798.333   2.15   0.76   +1.3  1999.813  0.94  0.2453    534   0.6
L075    172652946   172652629.8    -316.2   798.295   3.27   0.86   +1.1  1999.370  0.91  0.2515    533   0.5
L076    174814877   174814742.9    -134.1   798.300   1.36   0.85   +1.0  2000.498  0.96  0.2838    509   0.5
L077    177225612   177225477.1    -134.9   798.317   2.98   0.88   +0.2  1999.973  0.92  0.3232    524   0.5
R000      6506529     6506396.7    -132.3   799.456   4.03   2.49   -0.2  1999.390  0.81  0.3957    504   0.3
R001      8657325     8657187.3    -137.7   799.377   2.04   0.76   +1.3  1998.887  0.89  0.3166    527   0.3
R002     10925272    10925181.3     -90.7   799.362   1.13   0.75   +1.0  2000.683  0.95  0.2797    529   0.3
R003     13220865    13220757.5    -107.5   799.330   2.12   0.68   +1.1  2000.487  0.94  0.3133    518   0.7
R004     15458143    15458025.2    -117.8   799.344   1.76   0.71   +1.2  1998.765  0.95  0.3413    547   0.3
R005     17656141    17655981.8    -159.2   799.281   0.97   0.62   +0.9  2000.460  0.97  0.2836    532   0.7
R006     19802597    19802472.9    -124.1   799.231   1.64   0.80   +1.4  2000.262  0.95  0.4034    521   0.5
R007     21940853    21940693.0    -160.0   799.216   2.93   1.48   +1.3  2001.257  0.88  0.3237    584   0.3
R008     24148679    24148584.7     -94.3   799.213   4.87   1.09   +1.7  2000.398  0.83  0.3911    566   0.3
R009     26315243    26315147.4     -95.6   799.153   1.45   0.90   +1.3  2000.201  0.95  0.3514    551   0.3
R010     28621555    28621223.9    -331.1   799.110   1.34   0.64   +0.9  2000.499  0.89  0.3391    525   0.7
R011     30789735    30789602.9    -132.1   799.152   1.29   0.67   +1.1  2000.252  0.93  0.2836    562   0.4
R012     32986872    32986719.2    -152.8   799.131   1.58   0.66   +1.0  1999.845  0.95  0.4228    505   0.3
R013     35224177    35224085.2     -91.8   799.085   2.00   1.19   +2.1  1998.935  0.94  0.3021    530   0.4
R014     37420925    37420754.2    -170.8   799.089   1.17   0.76   +1.1  2000.282  0.96  0.4218    523   0.6
R015     39586621    39586481.0    -140.0   799.089   1.14   0.66   -1.0  2000.134  0.96  0.4199    507   0.4
R016     41813194    41813025.9    -168.1   799.065   0.94   0.58   +0.9  2000.077  0.97  0.2940    562   0.6
R017     44002775    44002646.8    -128.2   799.075   1.69   0.77   +0.8  1999.853  0.95  0.3942    522   0.6
R018     46219779    46219631.8    -147.2   799.202   1.21   0.72   +0.9  2000.449  0.92  0.4401    524   0.3
R019     48449050    48448901.2    -148.8   798.979   4.34   0.79   +0.7  1999.760  0.89  0.4294    518   0.6
R020     50655292    50655187.5    -104.5   798.960   0.74   0.56   +0.7  1999.879  0.97  0.4403    497   0.7
R021     52835618    52835513.4    -104.6   798.939   1.00   0.76   +0.9  1999.783  0.97  0.2872    555   0.3
R022     55058940    55058779.7    -160.3   798.902   0.98   0.78   +1.0  1999.807  0.96  0.4274    516   0.5
R023     57304974    57304869.4    -104.6   798.808   0.98   0.58   +0.9  1999.595  0.97  0.2808    526   0.6
R024     59510392    59510266.9    -125.1   798.833   0.93   0.61   +1.0  1999.691  0.96  0.2869    570   0.5
R025     61745053    61744884.1    -168.9   798.853   1.31   0.59   -0.9  1999.587  0.96  0.3582    544   0.3
